truetaxa,del13c,del13c_se,n,min,max,del13c_sd,del13c_var,genus,division
Acetabularia acetabulum,-11.1,NA,1,-11.1,-11.1,NA,NA,Acetabularia,Chlorophyta
Acetabularia sp. 1,-12.3,NA,1,-12.3,-12.3,NA,NA,Acetabularia,Chlorophyta
Acrosiphonia arcta,-17.55,NA,1,-17.55,-17.55,NA,NA,Acrosiphonia,Chlorophyta
Acrosiphonia coalita,-17.54775,NA,1,-17.55,-17.55,NA,NA,Acrosiphonia,Chlorophyta
Blidingia marginata,-16.6,NA,1,-16.6,-16.6,NA,NA,Blidingia,Chlorophyta
Boergesenia forbesii,-16.7,NA,1,-16.7,-16.7,NA,NA,Boergesenia,Chlorophyta
Bryopsis plumosa,-19.35,NA,1,-19.35,-19.35,NA,NA,Bryopsis,Chlorophyta
Caulerpa brownii,-28.925,1.375,2,-30.3,-27.55,1.9445436483,3.78125,Caulerpa,Chlorophyta
Caulerpa cactoides,-21.525,0.175,2,-21.7,-21.35,0.2474873734,0.06125,Caulerpa,Chlorophyta
Caulerpa flexilis,-31.1375,0.6518739014,4,-32.98,-30.18,1.3037478028,1.6997583333,Caulerpa,Chlorophyta
Caulerpa geminata,-22.9175,0.865480358,4,-24.93,-20.7,1.7309607159,2.996225,Caulerpa,Chlorophyta
Caulerpa hodkinsoniae,-25.565,0.705,2,-26.27,-24.86,0.9970205615,0.99405,Caulerpa,Chlorophyta
Caulerpa longifolia,-28.55,NA,1,-28.55,-28.55,NA,NA,Caulerpa,Chlorophyta
Caulerpa mexicana,-20.46,NA,1,-20.46,-20.46,NA,NA,Caulerpa,Chlorophyta
Caulerpa microphysa,-20.5983333333,0.4771681511,6,-22.79,-19.6,1.1688184918,1.3661366667,Caulerpa,Chlorophyta
Caulerpa obscura,-29.772,0.6394091022,10,-33.33,-25.92,2.0219891197,4.08844,Caulerpa,Chlorophyta
Caulerpa prolifera,-13.18,0.72,2,-13.9,-12.46,1.0182337649,1.0368,Caulerpa,Chlorophyta
